finess;finess_geo;region;rs_finess;score_satisfaction;taux_reco_brut;type_enquete
010780054;010000024;Auvergne-Rhône-Alpes;CH DE BOURG EN BRESSE FLEYRIAT;73.94;55.5;MCO_48H
010780062;010000032;Auvergne-Rhône-Alpes;CH DOCTEUR RECAMIER;70.93;47.6;MCO_48H
010780096;010000065;Auvergne-Rhône-Alpes;CH DE MONTPENSIER TREVOUX;;;MCO_48H
010008407;010005239;Auvergne-Rhône-Alpes;CH DU HAUT BUGEY;75.05;41.7;MCO_48H
010780195;010780195;Auvergne-Rhône-Alpes;CLINIQUE DOCTEUR CONVERT;73.16;54.0;MCO_48H
010780203;010780203;Auvergne-Rhône-Alpes;HÔPITAL PRIVE D–AMBÉRIEU;71.54;43.3;MCO_48H
020000022;020000089;Hauts de France;CENTRE HOSPITALIER DE GUISE;;;MCO_48H
020000063;020000162;Hauts de France;CENTRE HOSPITALIER DE SAINT QUENTIN;69.43;41.8;MCO_48H
020000360;020000360;Hauts de France;CLINIQUE COURLANCY SOISSONS;77.69;82.7;MCO_48H
020000253;020000394;Hauts de France;CH DE LAON;71.39;38.4;MCO_48H
020000261;020000519;Hauts de France;CENTRE HOSPITALIER DE SOISSONS;71.07;44.6;MCO_48H
020000287;020000535;Hauts de France;CENTRE HOSPITALIER DE CHAUNY;;;MCO_48H
020004404;020001061;Hauts de France;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;69.43;42.6;MCO_48H
020004495;020001087;Hauts de France;CENTRE HOSPITALIER D'HIRSON;;;MCO_48H
020010047;020010047;Hauts de France;POLYCLINIQUE SAINT CLAUDE;76.31;58.8;MCO_48H
030780092;030000061;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER MOULINS YZEURE;72.68;52.6;MCO_48H
030780100;030000079;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE MONTLUCON;72.02;42.4;MCO_48H
030780118;030000087;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE VICHY;70.98;42.9;MCO_48H
030780548;030780548;Auvergne-Rhône-Alpes;POLYCLINIQUE LA PERGOLA;75.63;54.9;MCO_48H
030781116;030781116;Auvergne-Rhône-Alpes;HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE;76.04;50.0;MCO_48H
030785430;030785430;Auvergne-Rhône-Alpes;POLYCLINIQUE SAINT-ODILON;78.27;70.7;MCO_48H
040780215;040000093;PACA;CENTRE HOSPITALIER DE MANOSQUE;74.99;57.7;MCO_48H
050002948;040000135;PACA;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;;;MCO_48H
040788879;040000911;PACA;CENTRE HOSPITALIER DE DIGNE LES BAINS;75.49;60.7;MCO_48H
040780470;040780470;PACA;CLINIQUE DE TOUTES AURES;81.51;80.0;MCO_48H
050000090;050000090;PACA;POLYCLINIQUE DES ALPES DU SUD GAP;78.5;67.9;MCO_48H
050000116;050000231;PACA;CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;73.39;62.3;MCO_48H
050002948;050000348;PACA;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;71.29;46.1;MCO_48H
060780897;060000478;PACA;CENTRE HOSPITALIER DE GRASSE;74.44;66.9;MCO_48H
060780905;060000486;PACA;CENTRE HOSPITALIER SAINT ELOI DE SOSPEL;;;MCO_48H
060780954;060000510;PACA;CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS;70.81;51.4;MCO_48H
060000528;060000528;PACA;CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE;76.25;71.3;MCO_48H
060780988;060000544;PACA;CENTRE HOSPITALIER PIERRE NOUVEAU CANNES;71.07;54.4;MCO_48H
060791761;060002102;PACA;CENTRE HOSPITALIER LA PALMOSA DE MENTON;72.1;43.3;MCO_48H
060021417;060021417;PACA;HOPITAL PRIVE CANNES OXFORD;76.25;64.9;MCO_48H
060780442;060780442;PACA;CLINIQUE SAINT FRANCOIS;;;MCO_48H
060780491;060780491;PACA;INSTITUT ARNAULT TZANCK SAINT LAURENT DU VAR;73.37;59.9;MCO_48H
060780517;060780517;PACA;POLYCLINIQUE SAINT JEAN;75.68;65.0;MCO_48H
060780590;060780590;PACA;CLINIQUE DU PALAIS;76.14;60.4;MCO_48H
060780715;060780715;PACA;CLINIQUE SAINT GEORGE;72.68;56.6;MCO_48H
060780723;060780723;PACA;CLINIQUE DU PARC IMPERIAL;74.26;49.5;MCO_48H
060780756;060780756;PACA;POLYCLINIQUE SANTA MARIA;71.53;54.3;MCO_48H
060780947;060780947;PACA;HOPITAL LENVAL;69.59;58.9;MCO_48H
060781200;060781200;PACA;CLINIQUE SAINT ANTOINE;74.23;30.6;MCO_48H
060785011;060785003;PACA;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;73.42;56.2;MCO_48H
060785011;060788957;PACA;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;;;MCO_48H
060785011;060789195;PACA;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;71.32;54.2;MCO_48H
060794013;060794013;PACA;CENTRE DE CARDIOLOGIE MEDICO CHIRURGICALE TZANCK;76.91;78.3;MCO_48H
060800166;060800166;PACA;CLINIQUE DE L'ESPERANCE;73.97;65.8;MCO_48H
070002878;070000013;Auvergne-Rhône-Alpes;CH DES VALS D'ARDÈCHE;;;MCO_48H
070780358;070000179;Auvergne-Rhône-Alpes;CH D'ARDÈCHE NORD;71.29;42.3;MCO_48H
070780374;070000195;Auvergne-Rhône-Alpes;CH DE TOURNON;;;MCO_48H
070005566;070000484;Auvergne-Rhône-Alpes;CH D'ARDECHE MERIDIONALE;;;MCO_48H
070005566;070000609;Auvergne-Rhône-Alpes;CH D'ARDECHE MERIDIONALE;71.21;42.9;MCO_48H
070780168;070780168;Auvergne-Rhône-Alpes;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;79.05;57.4;MCO_48H
070780424;070780424;Auvergne-Rhône-Alpes;CLINIQUE PASTEUR;74.61;58.4;MCO_48H
080011174;080000110;Grand Est;CHI NORD ARDENNES;;;MCO_48H
080001969;080000219;Grand Est;GROUPE HOSPITALIER SUD ARDENNES;;;MCO_48H
080011174;080000425;Grand Est;CHI NORD ARDENNES;71.98;58.5;MCO_48H
080010473;080010473;Grand Est;GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES;;;MCO_48H
090781774;090000175;Occitanie;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;74.35;55.8;MCO_48H
090781816;090000183;Occitanie;CENTRE HOSPITALIER ARIEGE COUSERANS;75.97;66.2;MCO_48H
090781774;090001629;Occitanie;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;;;MCO_48H
100000082;100000082;Grand Est;CLINIQUE DU PAYS DE SEINE;;;MCO_48H
100000017;100000090;Grand Est;CENTRE HOSPITALIER DE TROYES;71.15;45.4;MCO_48H
100000124;100000124;Grand Est;POLYCLINIQUE  MONTIER LA CELLE;75.85;67.2;MCO_48H
100006279;100000199;Grand Est;GROUPEMENT HOSPITALIER AUBE MARNE;72.68;53.8;MCO_48H
100010818;100010818;Grand Est;GCS ES CLINIQUE DE CHAMPAGNE;70.84;48.9;MCO_48H
110780061;110000023;Occitanie;CENTRE HOSPITALIER DE CARCASSONNE;72.56;46.3;MCO_48H
110780137;110000056;Occitanie;CENTRE HOSPITALIER DE NARBONNE;68.96;30.0;MCO_48H
110780228;110780228;Occitanie;POLYCLINIQUE LE LANGUEDOC;72.64;42.5;MCO_48H
110780483;110780483;Occitanie;POLYCLINIQUE MONTREAL;76.53;56.9;MCO_48H
120780044;120000039;Occitanie;CENTRE HOSPITALIER DE RODEZ  HOPITAL JACQUES PUEL;70.09;41.1;MCO_48H
120780069;120000054;Occitanie;CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE;76.17;66.7;MCO_48H
120780085;120000070;Occitanie;CENTRE HOSPITALIER PIERRE DELPECH DECAZEVILLE;;;MCO_48H
120004528;120004569;Occitanie;CENTRE HOSPITALIER DE MILLAU;;;MCO_48H
120004619;120004668;Occitanie;CENTRE HOSPITALIER DE SAINT AFFRIQUE;79.03;69.6;MCO_48H
130041916;130000409;PACA;CHI AIX PERTUIS;67.64;46.0;MCO_48H
130781446;130000565;PACA;CENTRE HOSPITALIER EDMOND GARCIN D'AUBAGNE;69.88;49.4;MCO_48H
130782634;130001225;PACA;CENTRE HOSPITALIER DE SALON DE PROVENCE;68.35;40.0;MCO_48H
130001647;130001647;PACA;INSTITUT PAOLI CALMETTES;77.02;79.5;MCO_48H
130785512;130002215;PACA;CENTRE HOSPITALIER DE LA CIOTAT;74.07;68.2;MCO_48H
130789274;130002827;PACA;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;70.74;46.2;MCO_48H
130789316;130002835;PACA;CENTRE HOSPITALIER DE MARTIGUES;;;MCO_48H
130008253;130008253;PACA;CLINIQUE DE VITROLLES;75.35;61.1;MCO_48H
130037922;130037922;PACA;CLINIQUE DE LA RESIDENCE DU PARC;78.72;55.9;MCO_48H
130041767;130041767;PACA;EUROMED CARDIO;76.14;74.5;MCO_48H
130042096;130042096;PACA;CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS;71.25;58.6;MCO_48H
130043664;130043664;PACA;HOPITAL EUROPEEN;76.48;68.3;MCO_48H
130044753;130044753;PACA;CLINIQUE MONTICELLI VELODROME;;;MCO_48H
130786049;130780521;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;68.85;43.8;MCO_48H
130781370;130781370;PACA;CLINIQUE JEANNE D'ARC;70.56;43.6;MCO_48H
130781479;130781479;PACA;HOPITAL PRIVE LA CASAMANCE;71.17;45.9;MCO_48H
130781867;130781867;PACA;CLINIQUE DE LA CIOTAT;79.08;79.7;MCO_48H
130782071;130782071;PACA;CLINIQUE DE L'ETANG DE L'OLIVIER;71.33;45.2;MCO_48H
130782147;130782147;PACA;CLINIQUE GENERALE DE MARIGNANE;69.79;42.1;MCO_48H
130782162;130782162;PACA;CLINIQUE CHIRURGICALE DE MARTIGUES;76.6;58.7;MCO_48H
130782675;130782675;PACA;CLINIQUE VIGNOLI;80.13;63.8;MCO_48H
130786049;130783236;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;70.46;48.3;MCO_48H
130786049;130783293;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;67.1;43.8;MCO_48H
130783327;130783327;PACA;CLINIQUE BOUCHARD;72.35;51.2;MCO_48H
130783665;130783665;PACA;CLINIQUE DE BONNEVEINE;;;MCO_48H
130783723;130783723;PACA;CLINIQUE JUGE;77.24;70.4;MCO_48H
130784051;130784051;PACA;HOPITAL PRIVE CLAIRVAL;71.71;58.9;MCO_48H
130786049;130784234;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;73.25;56.7;MCO_48H
130784713;130784713;PACA;HOPITAL PRIVE MARSEILLE BEAUREGARD VERT COTEAU;71.6;55.1;MCO_48H
130784903;130784903;PACA;CLINIQUE LA PHOCEANNE;83.56;67.8;MCO_48H
130785389;130785389;PACA;CLINIQUE CHANTECLER;76.5;60.5;MCO_48H
130785652;130785652;PACA;HOPITAL SAINT JOSEPH;72.01;57.9;MCO_48H
130785678;130785678;PACA;HOPITAL PRIVE MARSEILLE VERT COTEAU;73.68;39.1;MCO_48H
130786361;130786361;PACA;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;75.15;66.3;MCO_48H
130786445;130786445;PACA;MATERNITE CATHOLIQUE DE PROVENCE L'ETOILE;76.51;73.3;MCO_48H
130786742;130786742;PACA;HOPITAL D'INSTRUCTION DES ARMEES LAVERAN;74.59;66.0;MCO_48H
130789159;130789159;PACA;CENTRE CARDIO VASCULAIRE VALMANTE;;;MCO_48H
130786049;130804297;PACA;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;67.18;41.1;MCO_48H
130810740;130810740;PACA;CLINIQUE AXIUM;75.37;59.0;MCO_48H
140000035;140000027;Normandie;CENTRE HOSPITALIER DE LISIEUX;70.77;37.4;MCO_48H
140000100;140000209;Normandie;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE;71.73;49.3;MCO_48H
140000118;140000233;Normandie;CENTRE HOSPITALIER DE FALAISE;74.49;58.3;MCO_48H
140000290;140000290;Normandie;CLINIQUE NOTRE DAME - VIRE;76.66;59.7;MCO_48H
140000159;140000373;Normandie;CENTRE HOSPITALIER DE VIRE;;;MCO_48H
140000555;140000555;Normandie;CENTRE REGIONAL DE LUTTE CONTRE LE CANCER FRANCOIS BACLESSE;78.7;83.1;MCO_48H
140002452;140002452;Normandie;CLINIQUE DE LA MISERICORDE - CAEN;;;MCO_48H
140000100;140004383;Normandie;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE;;;MCO_48H
140016759;140016759;Normandie;POLYCLINIQUE DU PARC - CAEN;73.72;59.6;MCO_48H
140017237;140017237;Normandie;HOPITAL PRIVE ST MARTIN-CAEN;76.42;68.5;MCO_48H
140018730;140018730;Normandie;POLYCLINIQUE DE LISIEUX;78.22;67.6;MCO_48H
140000092;140024886;Normandie;CENTRE HOSPITALIER DE BAYEUX;;;MCO_48H
140026279;140026410;Normandie;CENTRE HOSPITALIER DE LA COTE FLEURIE;;;MCO_48H
140026709;140026709;Normandie;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;76.8;65.3;MCO_48H
150780088;150000032;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE SAINT FLOUR;;;MCO_48H
150780096;150000040;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER H.MONDOR;69.6;38.9;MCO_48H
150780468;150000164;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE MAURIAC;;;MCO_48H
150780732;150780732;Auvergne-Rhône-Alpes;CENTRE MEDICO-CHIRURGICAL DE TRONQUIERES;77.79;67.1;MCO_48H
160000170;160000170;Nouvelle Aquitaine;CLINIQUE SAINT-JOSEPH - ANGOULEME;73.0;53.3;MCO_48H
160000451;160000253;Nouvelle Aquitaine;CENTRE HOSPITALIER D'ANGOULEME;72.3;46.8;MCO_48H
160000279;160000279;Nouvelle Aquitaine;CLINIQUE DE COGNAC;73.69;50.9;MCO_48H
160006037;160000303;Nouvelle Aquitaine;CH HOPITAUX DU SUD CHARENTE;;;MCO_48H
160000485;160000311;Nouvelle Aquitaine;CENTRE HOSPITALIER DE CONFOLENS;;;MCO_48H
160000493;160000337;Nouvelle Aquitaine;CENTRE HOSPITALIER DE RUFFEC;;;MCO_48H
160013207;160013207;Nouvelle Aquitaine;CENTRE CLINICAL SA;76.69;67.5;MCO_48H
160014411;160015368;Nouvelle Aquitaine;CTRE HOSP INTERCOMM DU PAYS DE COGNAC;73.16;48.8;MCO_48H
170780050;170000038;Nouvelle Aquitaine;CENTRE HOSPITALIER DE JONZAC;;;MCO_48H
170024194;170000087;Nouvelle Aquitaine;CH GROUPE HOSPITALIER DE LA ROCHELLE-RE-AUNIS;71.73;48.1;MCO_48H
170780167;170000095;Nouvelle Aquitaine;CH DE SAINT-JEAN D'ANGELY;;;MCO_48H
170780175;170000103;Nouvelle Aquitaine;CTRE HOSP. DE SAINTONGE - SAINTES;72.35;48.5;MCO_48H
170780191;170000129;Nouvelle Aquitaine;CENTRE HOSPITALIER DE ROYAN;;;MCO_48H
170780225;170000152;Nouvelle Aquitaine;CENTRE HOSPITALIER ROCHEFORT;74.75;56.6;MCO_48H
170780563;170780563;Nouvelle Aquitaine;ETAB. DE SOINS PASTEUR - ROYAN;77.51;72.4;MCO_48H
170780613;170780613;Nouvelle Aquitaine;CLINIQUE DU MAIL - LA ROCHELLE;77.14;65.2;MCO_48H
170780621;170780621;Nouvelle Aquitaine;POLYCLINIQUE SAINT GEORGES;;;MCO_48H
170780647;170780647;Nouvelle Aquitaine;CLINIQUE RICHELIEU - SAINTES;82.02;82.4;MCO_48H
170780662;170780662;Nouvelle Aquitaine;CAPIO CLINIQUE DE L'ATLANTIQUE;76.81;64.7;MCO_48H
180000028;180000010;Centre-Val de Loire;CH JACQUES COEUR  DE BOURGES;71.45;51.4;MCO_48H
180000051;180000200;Centre-Val de Loire;CH DE VIERZON;75.17;63.8;MCO_48H
180000069;180000283;Centre-Val de Loire;CH DE SAINT AMAND-MONTROND;;;MCO_48H
180004145;180004145;Centre-Val de Loire;HOPITAL PRIVE GUILLAUME DE VARYE;76.32;66.0;MCO_48H
180010209;180010209;Centre-Val de Loire;POLE SANTE PRIVE-PUBLIC ST AMANDOIS-ET;82.06;87.1;MCO_48H
190000042;190000018;Nouvelle Aquitaine;CENTRE HOSPITALIER DUBOIS BRIVE;70.78;44.2;MCO_48H
190000059;190000026;Nouvelle Aquitaine;CENTRE HOSPITALIER COEUR DE CORREZE;73.85;50.9;MCO_48H
190000075;190000091;Nouvelle Aquitaine;CENTRE HOSPITALIER D'USSEL;71.81;54.5;MCO_48H
190000224;190000224;Nouvelle Aquitaine;CLINIQUE LES CEDRES BRIVE;75.67;57.8;MCO_48H
190000257;190000257;Nouvelle Aquitaine;CLINIQUE  SAINT-GERMAIN  BRIVE;81.87;61.8;MCO_48H
210011847;210011847;Bourgogne-Franche-Comté;POLYCLINIQUE DU PARC DREVON;76.43;45.3;MCO_48H
210012670;210012670;Bourgogne-Franche-Comté;HOPITAL PRIVE DIJON BOURGOGNE;73.93;55.2;MCO_48H
210780789;210780789;Bourgogne-Franche-Comté;CLINIQUE MUTUALISTE BENIGNE-JOLY A TALANT;77.26;69.2;MCO_48H
210780581;210987558;Bourgogne-Franche-Comté;CENTRE HOSPITALIER UNIVERSITAIRE DE DIJON;72.83;60.6;MCO_48H
210012175;210987574;Bourgogne-Franche-Comté;HOSPICES CIVILS DE BEAUENE;;;MCO_48H
210012175;210987657;Bourgogne-Franche-Comté;HOSPICES CIVILS DE BEAUENE;74.71;59.4;MCO_48H
210012142;210987665;Bourgogne-Franche-Comté;CENTRE HOSPITALIER DE LA HAUTE COTE-D'OR;;;MCO_48H
210012142;210987673;Bourgogne-Franche-Comté;CENTRE HOSPITALIER DE LA HAUTE COTE-D'OR;;;MCO_48H
210012142;210987681;Bourgogne-Franche-Comté;CENTRE HOSPITALIER DE LA HAUTE COTE-D'OR;;;MCO_48H
210780706;210987699;Bourgogne-Franche-Comté;CENTRE HOSPITALIER ROBERT MORLEVAT SEMUR EN AUXOIS;73.44;54.3;MCO_48H
210987731;210987731;Bourgogne-Franche-Comté;CENTRE DE LUTTE CONTRE LE CANCER GEORGES-FRANCOIS LECLERC;80.43;82.4;MCO_48H
220000020;220000012;Bretagne;CENTRE HOSPITALIER DE SAINT BRIEUC;74.43;56.1;MCO_48H
220000046;220000095;Bretagne;CENTRE HOSPITALIER DINAN;72.6;50.5;MCO_48H
220000111;220000111;Bretagne;POLYCLINIQUE DU TREGOR;78.76;75.5;MCO_48H
220000079;220000343;Bretagne;CENTRE HOSPITALIER GUINGAMP;78.13;76.1;MCO_48H
220000103;220000368;Bretagne;CENTRE HOSPITALIER GENERAL -  LANNION;72.1;42.9;MCO_48H
220000152;220000541;Bretagne;CENTRE HOSPITALIER GENERAL DE PAIMPOL;;;MCO_48H
220005599;220005599;Bretagne;POLYCLINIQUE DU PAYS DE RANCE;78.46;56.9;MCO_48H
220022800;220022800;Bretagne;HOPITAL PRIVE DES COTES D'ARMOR;78.64;72.1;MCO_48H
230780041;230000820;Nouvelle Aquitaine;CENTRE HOSPITALIER DE GUERET;72.15;53.2;MCO_48H
230780082;230780082;Nouvelle Aquitaine;CENTRE MEDICAL NATIONAL ALFRED LEUNE - MGEN;;;MCO_48H
230780157;230780157;Nouvelle Aquitaine;CLINIQUE DE LA MARCHE GUERET;77.42;69.9;MCO_48H
240000190;240000190;Nouvelle Aquitaine;SOCIETE ANONYME POLYCLINIQUE FRANCHEVILLE;76.49;52.6;MCO_48H
240000208;240000208;Nouvelle Aquitaine;CLINIQUE PASTEUR;75.78;63.8;MCO_48H
240000216;240000216;Nouvelle Aquitaine;SA CLINIQUE DU PARC;82.14;87.9;MCO_48H
240000059;240000372;Nouvelle Aquitaine;CENTRE HOSPITALIER SAMUEL POZZI;;;MCO_48H
240000117;240000489;Nouvelle Aquitaine;CENTRE HOSPITALIER DE PERIGUEUX;70.44;45.3;MCO_48H
240000448;240000687;Nouvelle Aquitaine;CENTRE HOSPITALIER JEAN LECLAIRE;;;MCO_48H
250000270;250000270;Bourgogne-Franche-Comté;CAPIO CLINIQUE SAINT VINCENT BESANCON;76.21;66.6;MCO_48H
250000221;250000627;Bourgogne-Franche-Comté;CH PAUL NAPPEZ MORTEAU;;;MCO_48H
250000452;250000700;Bourgogne-Franche-Comté;CHI HC CHI HAUTE COMTE;74.17;55.8;MCO_48H
900000365;250004009;Bourgogne-Franche-Comté;HOPITAL NORD FRANCHE COMTE;;;MCO_48H
250000015;250006954;Bourgogne-Franche-Comté;CHRU BESANCON;71.81;54.4;MCO_48H
250011848;250011848;Bourgogne-Franche-Comté;HOSPITALIA MUTUALITE POLYCLINIQUE DE FRANCHE COMTE;76.63;62.7;MCO_48H
260000021;260000013;Auvergne-Rhône-Alpes;CH DE VALENCE;72.18;54.3;MCO_48H
260016910;260000120;Auvergne-Rhône-Alpes;HOPITAUX DROME NORD;71.68;49.2;MCO_48H
260000047;260000138;Auvergne-Rhône-Alpes;CH DE MONTELIMAR;74.63;56.4;MCO_48H
260000054;260000146;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE CREST;;;MCO_48H
260016910;260000203;Auvergne-Rhône-Alpes;HOPITAUX DROME NORD;;;MCO_48H
260000088;260000237;Auvergne-Rhône-Alpes;CH DE NYONS;;;MCO_48H
260000260;260000260;Auvergne-Rhône-Alpes;CLINIQUE LA PARISIÈRE;78.4;64.1;MCO_48H
260000104;260000286;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE DIE;;;MCO_48H
260003017;260003017;Auvergne-Rhône-Alpes;CLINIQUE KENNEDY;77.0;58.0;MCO_48H
260006267;260006267;Auvergne-Rhône-Alpes;CLINIQUE GENERALE VALENCE;;;MCO_48H
270000060;270000045;Normandie;CENTRE HOSPITALIER DE BERNAY;66.09;36.7;MCO_48H
270000326;270000326;Normandie;CLINIQUE CHIRURGICALE PASTEUR EVREUX;74.79;62.8;MCO_48H
270023724;270000359;Normandie;CENTRE HOSPITALIER EURE-SEINE;72.37;48.5;MCO_48H
270000086;270000367;Normandie;POLE SANITAIRE DU VEXIN CH GISORS;73.64;55.1;MCO_48H
760024042;270000391;Normandie;CHI ELBEUF-LOUVIERS VAL DE REUIL;;;MCO_48H
270000102;270000425;Normandie;CENTRE HOSPITALIER DE PONT-AUDEMER;;;MCO_48H
270000110;270000441;Normandie;CENTRE HOSPITALIER DE VERNEUIL-SUR-AVRE;;;MCO_48H
270023724;270000458;Normandie;CENTRE HOSPITALIER EURE-SEINE;71.38;49.5;MCO_48H
270000862;270000862;Normandie;CLINIQUE BERGOUIGNAN;70.09;47.1;MCO_48H
280000183;280000084;Centre-Val de Loire;CENTRE HOSPITALIER DE DREUX;69.25;39.8;MCO_48H
280000225;280000100;Centre-Val de Loire;CH DE LA LOUPE;;;MCO_48H
280000449;280000449;Centre-Val de Loire;CLINIQUE CARDIOLOGIQUE MAISON BLANCHE;;;MCO_48H
280500075;280000662;Centre-Val de Loire;CENTRE HOSPITALIER DE CHATEAUDUN;;;MCO_48H
280000589;280502998;Centre-Val de Loire;CH DE NOGENT LE ROTROU;;;MCO_48H
280000134;280504267;Centre-Val de Loire;CH DE CHARTRES;72.69;46.2;MCO_48H
280505777;280505777;Centre-Val de Loire;NOUVELLE CLINIQUE SAINT FRANCOIS;74.71;52.3;MCO_48H
290020700;290000025;Bretagne;CENTRE HOSPITALIER INTERCOMMUNAL DE CORNOUAILLE;73.52;50.2;MCO_48H
290021542;290000033;Bretagne;CENTRE HOSPITALIER DES PAYS DE MORLAIX;73.87;45.5;MCO_48H
290000017;290000058;Bretagne;CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST;73.28;58.2;MCO_48H
290020700;290000066;Bretagne;CENTRE HOSPITALIER INTERCOMMUNAL DE CORNOUAILLE;;;MCO_48H
290000140;290000140;Bretagne;CLINIQUE PASTEUR LANROZE;77.76;62.2;MCO_48H
290000041;290000173;Bretagne;CENTRE HOSPITALIER FERDINAND GRALL LANDERNEAU;78.14;74.6;MCO_48H
290000074;290000181;Bretagne;CENTRE HOSPITALIER DE DOUARNENEZ;;;MCO_48H
290000207;290000207;Bretagne;CLINIQUE SAINT-MICHEL ET SAINTE-ANNE;80.22;74.6;MCO_48H
290000215;290000215;Bretagne;POLYCLINIQUE QUIMPER SUD;78.27;77.5;MCO_48H
290000017;290000256;Bretagne;CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST;75.6;55.2;MCO_48H
290000116;290000389;Bretagne;CENTRE HOSPITALIER LANMEUR;;;MCO_48H
290000728;290000728;Bretagne;HOPITAL INSTRUCTION DES ARMEES;;;MCO_48H
290000785;290000785;Bretagne;HOPITAL PRIVE HOTEL-DIEU LES AUGUSTINES DE PONT-L'ABBE;73.2;57.0;MCO_48H
560005746;290000934;Bretagne;CENTRE HOSPITALIER DE BRETAGNE SUD- CHBS;72.5;43.1;MCO_48H
290000975;290000975;Bretagne;FONDATION ILDYS SITE DE PERHARIDY;;;MCO_48H
290004142;290004142;Bretagne;CLINIQUE DU GRAND LARGE;77.04;65.0;MCO_48H
290000017;290004324;Bretagne;CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST;72.66;56.4;MCO_48H
290000017;290004365;Bretagne;CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE BREST;;;MCO_48H
290019777;290019777;Bretagne;POLYCLINIQUE DE KERAUDREN;74.98;56.1;MCO_48H
290023431;290023431;Bretagne;CENTRE MEDICO-CHIRURGICAL DE LA BAIE DE MORLAIX;78.98;78.1;MCO_48H
2A0000014;2A0000022;Corse;CENTRE HOSPITALIER GENERAL N D MISERICORDE AJACCIO;65.13;30.9;MCO_48H
2A0000139;2A0000139;Corse;CLINISUD;71.83;56.0;MCO_48H
2A0000154;2A0000154;Corse;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;70.89;39.5;MCO_48H
2B0000020;2B0000012;Corse;CENTRE HOSPITALIER - FALCONAJA - BASTIA;70.51;55.9;MCO_48H
2B0000079;2B0000079;Corse;CLINIQUE DU DOCTEUR PAUL LAURENT FILIPPI;;;MCO_48H
2B0000145;2B0000145;Corse;POLYCLINIQUE MAYMARD  LA RESIDENCE;75.78;67.6;MCO_48H
2B0000392;2B0000392;Corse;POLYCLINIQUE DE FURIANI;;;MCO_48H
300780046;300000023;Occitanie;CENTRE HOSPITALIER ALES CEVENNES;69.05;35.4;MCO_48H
300780053;300000031;Occitanie;CENTRE HOSPITALIER LOUIS PASTEUR BAGNOLS SUR CEZE;72.61;47.3;MCO_48H
300017209;300017209;Occitanie;KENVAL INSTITUT DE CANCEROLOGIE;;;MCO_48H
300780137;300780137;Occitanie;NOUVELLE CLINIQUE BONNEFON;71.58;48.8;MCO_48H
300780152;300780152;Occitanie;HOPITAL PRIVE LES FRANCISCAINES;73.06;62.0;MCO_48H
300781465;300781465;Occitanie;POLYCLINIQUE KENNEDY;74.17;48.4;MCO_48H
300780038;300782117;Occitanie;CENTRE HOSPITALIER UNIVERSITAIRE DE NIMES;73.06;59.6;MCO_48H
300788502;300788502;Occitanie;POLYCLINIQUE GRAND SUD;73.97;51.6;MCO_48H
