finess;finess_geo;region;rs_finess;score_satisfaction;taux_reco_brut;type_enquete
630781029;630000446;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER DE THIERS;72.67;52.1;MCO_48H
630000479;630000479;Auvergne-Rhône-Alpes;CENTRE REGIONAL DE LUTTE CONTRE LE CANCER JEAN PERRIN;80.08;80.6;MCO_48H
630780211;630780211;Auvergne-Rhône-Alpes;POLE SANTE REPUBLIQUE;75.76;56.9;MCO_48H
630780369;630780369;Auvergne-Rhône-Alpes;CLINIQUE DE LA PLAINE;80.5;82.4;MCO_48H
630780989;630781268;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER UNIVERSITAIRE DE CLERMONT-FERRAND;72.15;59.5;MCO_48H
630781821;630781821;Auvergne-Rhône-Alpes;CLINIQUE PSYCHIATRIQUE LE GRAND PRE;;;MCO_48H
630781839;630781839;Auvergne-Rhône-Alpes;HOPITAL PRIVE LA CHATAIGNERAIE;76.06;65.9;MCO_48H
630780989;630783538;Auvergne-Rhône-Alpes;CENTRE HOSPITALIER UNIVERSITAIRE DE CLERMONT-FERRAND;;;MCO_48H
640780417;640000162;Nouvelle Aquitaine;CENTRE HOSPITALIER INTERCOMMUNAL DE LA COTE BASQUE;74.95;64.8;MCO_48H
640780813;640000402;Nouvelle Aquitaine;CENTRE HOSPITALIER D'ORTHEZ;;;MCO_48H
640780821;640000410;Nouvelle Aquitaine;CENTRE HOSPITALIER D'OLORON SAINTE MARIE;73.93;50.0;MCO_48H
640781290;640000600;Nouvelle Aquitaine;CENTRE HOSPITALIER DE PAU;75.67;60.5;MCO_48H
640016580;640016580;Nouvelle Aquitaine;CENTRE DE CARDIOLOGIE DU PAYS BASQUE;76.08;72.1;MCO_48H
640017638;640017646;Nouvelle Aquitaine;CENTRE HOSPITALIER DE SAINT-PALAIS;77.46;85.2;MCO_48H
640018206;640018206;Nouvelle Aquitaine;CAPIO CLINIQUE BELHARRA;77.14;60.7;MCO_48H
640780268;640780268;Nouvelle Aquitaine;CLINIQUE DELAY;79.09;76.3;MCO_48H
640780490;640780490;Nouvelle Aquitaine;CAPIO CLINIQUE AGUILERA;77.54;60.0;MCO_48H
640780748;640780748;Nouvelle Aquitaine;POLYCLINIQUE COTE BASQUE SUD;77.42;68.3;MCO_48H
640780938;640780938;Nouvelle Aquitaine;POLYCLINIQUE MARZET;74.72;57.6;MCO_48H
640780946;640780946;Nouvelle Aquitaine;POLYCLINIQUE DE NAVARRE;75.1;57.1;MCO_48H
640781225;640781225;Nouvelle Aquitaine;CLINIQUE CARDIOLOGIQUE ARESSY;74.95;58.5;MCO_48H
640781308;640781308;Nouvelle Aquitaine;CLINIQUE PRINCESS;81.46;65.1;MCO_48H
650780158;650000045;Occitanie;CENTRE HOSPITALIER LOURDES;77.3;66.7;MCO_48H
650783160;650000417;Occitanie;CENTRE HOSPITALIER DE BIGORRE;72.23;45.6;MCO_48H
650002579;650002579;Occitanie;CLINIQUE ORMEAU PYRENEES;76.34;59.1;MCO_48H
650783160;650780182;Occitanie;CENTRE HOSPITALIER DE BIGORRE;;;MCO_48H
650780679;650780679;Occitanie;POLYCLINIQUE DE L'ORMEAU;73.63;57.3;MCO_48H
650780174;650784218;Occitanie;HOPITAUX DE LANNEMEZAN;77.54;71.1;MCO_48H
660780180;660000084;Occitanie;CENTRE HOSPITALIER DE PERPIGNAN;73.84;56.3;MCO_48H
660006305;660006305;Occitanie;FUSION DE LA ROUSSILLONNAISE ET ST CHRISTOPHE;79.22;76.5;MCO_48H
660780628;660780628;Occitanie;CLINIQUE DU VALLESPIR;71.82;50.0;MCO_48H
660780669;660780669;Occitanie;CLINIQUE NOTRE DAME D'ESPERANCE;71.43;49.3;MCO_48H
660780776;660780776;Occitanie;CLINIQUE SAINT MICHEL;75.88;68.2;MCO_48H
660780784;660780784;Occitanie;CLINIQUE SAINT PIERRE;72.61;56.3;MCO_48H
660790387;660790387;Occitanie;POLYCLINIQUE SAINT ROCH;76.33;61.2;MCO_48H
670780055;670000025;Grand Est;HOPITAUX UNIVERSITAIRES DE STRASBOURG;73.68;57.6;MCO_48H
670000033;670000033;Grand Est;CENTRE REGIONAL DE LUTTE CONTRE LE CANCER PAUL STRAUSS;76.57;62.6;MCO_48H
670780337;670000157;Grand Est;CENTRE HOSPITALIER DE HAGUENAU;74.55;57.9;MCO_48H
670780345;670000165;Grand Est;CENTRE HOSPITALIER SAINTE-CATHERINE DE SAVERNE;73.49;57.8;MCO_48H
