finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
010780054;CH DE BOURG EN BRESSE FLEYRIAT;010000024;CH DE FLEYRIAT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;572.0;73.94;C;;572.0;71.69;572.0;81.98;572.0;80.89;572.0;73.6;572.0;60.63;572.0;64.99;55.5;568.0
010780062;CH DOCTEUR RECAMIER;010000032;CH HAUT BUGEY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;313.0;70.93;C;;313.0;69.57;313.0;80.57;313.0;77.39;313.0;67.39;313.0;61.11;313.0;60.84;47.6;313.0
010780096;CH DE MONTPENSIER TREVOUX;010000065;CH DE TREVOUX - MONTPENSIER;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
010008407;CH DU HAUT BUGEY;010005239;CH DU HAUT BUGEY - GEOVREISSET;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;36.0;75.05;B;;36.0;77.82;36.0;82.23;36.0;79.68;36.0;73.98;36.0;62.89;36.0;64.36;41.7;36.0
010780195;CLINIQUE DOCTEUR CONVERT;010780195;CLINIQUE CONVERT;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;114.0;73.16;C;;114.0;72.19;114.0;82.37;114.0;80.45;114.0;73.36;114.0;53.83;114.0;62.8;54.0;113.0
010780203;HÔPITAL PRIVE D–AMBÉRIEU;010780203;HOPITAL PRIVE D'AMBERIEU;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;278.0;71.54;C;;278.0;72.92;278.0;80.37;278.0;79.78;278.0;68.94;278.0;65.46;278.0;54.51;43.3;277.0
020000022;CENTRE HOSPITALIER DE GUISE;020000089;CH GUISE;Hauts de France;1- Obligatoire;2- Non;;;DI;;;;;;;;;;;;;;;
020000063;CENTRE HOSPITALIER DE SAINT QUENTIN;020000162;CH SAINT-QUENTIN;Hauts de France;1- Obligatoire;1- Oui;98.0;69.43;D;;98.0;70.06;98.0;77.0;98.0;73.97;98.0;68.65;98.0;68.06;98.0;56.07;41.8;98.0
020000360;CLINIQUE COURLANCY SOISSONS;020000360;CLINIQUE COURLANCY SOISSONS;Hauts de France;1- Obligatoire;1- Oui;52.0;77.69;A;;52.0;78.4;52.0;82.21;52.0;83.34;52.0;75.08;52.0;63.53;52.0;73.58;82.7;52.0
020000253;CH DE LAON;020000394;CH LAON;Hauts de France;1- Obligatoire;1- Oui;99.0;71.39;C;;99.0;68.87;99.0;80.12;99.0;77.94;99.0;68.64;99.0;54.38;99.0;65.6;38.4;99.0
020000261;CENTRE HOSPITALIER DE SOISSONS;020000519;CH SOISSONS;Hauts de France;1- Obligatoire;1- Oui;313.0;71.07;C;;313.0;69.97;313.0;78.72;313.0;77.85;313.0;71.95;313.0;55.34;313.0;61.85;44.6;312.0
020000287;CENTRE HOSPITALIER DE CHAUNY;020000535;CH CHAUNY;Hauts de France;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;020001061;CH CHÂTEAU-THIERRY;Hauts de France;1- Obligatoire;1- Oui;169.0;69.43;D;;169.0;67.75;169.0;79.4;169.0;76.04;169.0;66.72;169.0;56.68;169.0;59.83;42.6;169.0
020004495;CENTRE HOSPITALIER D'HIRSON;020001087;CH HIRSON;Hauts de France;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
020010047;POLYCLINIQUE SAINT CLAUDE;020010047;HOPITAL PRIVE SAINT CLAUDE;Hauts de France;1- Obligatoire;1- Oui;275.0;76.31;B;;275.0;75.24;275.0;82.87;275.0;83.84;275.0;73.98;275.0;62.73;275.0;68.38;58.8;274.0
030780092;CENTRE HOSPITALIER MOULINS YZEURE;030000061;CH DE MOULINS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;272.0;72.68;C;;272.0;72.68;272.0;81.57;272.0;79.22;272.0;71.41;272.0;58.04;272.0;61.46;52.6;272.0
030780100;CENTRE HOSPITALIER DE MONTLUCON;030000079;CH DE MONTLUCON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;59.0;72.02;C;;59.0;65.56;59.0;81.95;59.0;81.79;59.0;72.58;59.0;57.46;59.0;64.2;42.4;59.0
030780118;CENTRE HOSPITALIER DE VICHY;030000087;CH JACQUES LACARIN VICHY;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;91.0;70.98;C;;91.0;69.91;91.0;80.4;91.0;77.14;91.0;68.92;91.0;53.7;91.0;62.24;42.9;91.0
030780548;POLYCLINIQUE LA PERGOLA;030780548;POLYCLINIQUE LA PERGOLA;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;134.0;75.63;B;;134.0;76.57;134.0;81.3;134.0;83.5;134.0;77.99;134.0;60.04;134.0;63.69;54.9;133.0
030781116;HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE;030781116;HOPITAL PRIVE SAINT-FRANCOIS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;67.0;76.04;B;;67.0;76.92;67.0;83.04;67.0;83.33;67.0;71.17;67.0;61.87;67.0;68.12;50.0;66.0
030785430;POLYCLINIQUE SAINT-ODILON;030785430;POLYCLINIQUE SAINT-ODILON;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;82.0;78.27;A;;82.0;79.91;82.0;84.38;82.0;83.98;82.0;78.64;82.0;62.48;82.0;69.46;70.7;82.0
040780215;CENTRE HOSPITALIER DE MANOSQUE;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;PACA;1- Obligatoire;1- Oui;78.0;74.99;B;;78.0;76.16;78.0;82.98;78.0;80.12;78.0;77.3;78.0;60.36;78.0;63.24;57.7;78.0
050002948;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
040788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;PACA;1- Obligatoire;1- Oui;89.0;75.49;B;;89.0;72.11;89.0;85.79;89.0;82.62;89.0;77.43;89.0;61.89;89.0;63.69;60.7;89.0
040780470;CLINIQUE DE TOUTES AURES;040780470;CLINIQUE TOUTES AURES;PACA;2- Facultatif;1- Oui;40.0;81.51;A;;40.0;81.97;40.0;87.86;40.0;87.21;40.0;79.27;40.0;68.11;40.0;74.31;80.0;40.0
050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;PACA;1- Obligatoire;1- Oui;137.0;78.5;A;;137.0;76.79;137.0;84.57;137.0;85.49;137.0;81.24;137.0;59.31;137.0;70.68;67.9;137.0
050000116;CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;050000231;CH DES ESCARTONS DE BRIANCON;PACA;1- Obligatoire;1- Oui;78.0;73.39;C;;78.0;67.76;78.0;81.74;78.0;79.01;78.0;80.5;78.0;59.47;78.0;61.88;62.3;77.0
050002948;CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD;050000348;CHI DES ALPES DU SUD SITE DE GAP;PACA;1- Obligatoire;1- Oui;346.0;71.29;C;;346.0;67.67;346.0;80.97;346.0;78.0;346.0;74.45;346.0;58.28;346.0;58.43;46.1;345.0
060780897;CENTRE HOSPITALIER DE GRASSE;060000478;CENTRE HOSPITALIER DE GRASSE;PACA;1- Obligatoire;1- Oui;124.0;74.44;B;;124.0;71.45;124.0;83.81;124.0;81.81;124.0;72.14;124.0;54.02;124.0;68.83;66.9;124.0
060780905;CENTRE HOSPITALIER SAINT ELOI DE SOSPEL;060000486;CH SAINT ELOI DE SOSPEL;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
060780954;CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS;060000510;CH D'ANTIBES JUAN LES PINS;PACA;1- Obligatoire;1- Oui;105.0;70.81;C;;105.0;69.09;105.0;80.99;105.0;78.27;105.0;70.91;105.0;55.17;105.0;58.89;51.4;105.0
060000528;CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE;060000528;CENTRE ANTOINE LACASSAGNE;PACA;1- Obligatoire;1- Oui;303.0;76.25;B;;303.0;75.75;303.0;84.16;303.0;82.91;303.0;76.78;303.0;56.04;303.0;67.33;71.3;303.0
060780988;CENTRE HOSPITALIER PIERRE NOUVEAU CANNES;060000544;CH DE CANNES SIMONE VEIL;PACA;1- Obligatoire;1- Oui;384.0;71.07;C;;384.0;71.62;384.0;79.4;384.0;77.52;384.0;74.93;384.0;53.03;384.0;58.71;54.4;384.0
060791761;CENTRE HOSPITALIER LA PALMOSA DE MENTON;060002102;CH LA PALMOSA DE MENTON;PACA;1- Obligatoire;1- Oui;60.0;72.1;C;;60.0;69.61;60.0;78.98;60.0;79.83;60.0;76.12;60.0;51.42;60.0;62.47;43.3;60.0
060021417;HOPITAL PRIVE CANNES OXFORD;060021417;HOPITAL PRIVE CANNES OXFORD;PACA;1- Obligatoire;1- Oui;240.0;76.25;B;;240.0;72.44;240.0;84.1;240.0;84.2;240.0;83.48;240.0;49.08;240.0;66.65;64.9;239.0
060780442;CLINIQUE SAINT FRANCOIS;060780442;CLINIQUE SAINT FRANCOIS;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
060780491;INSTITUT ARNAULT TZANCK SAINT LAURENT DU VAR;060780491;INSTITUT ARNAULT TZANCK;PACA;1- Obligatoire;1- Oui;168.0;73.37;C;;168.0;76.57;168.0;79.31;168.0;79.62;168.0;74.26;168.0;56.29;168.0;61.26;59.9;167.0
060780517;POLYCLINIQUE SAINT JEAN;060780517;POLYCLINIQUE SAINT JEAN;PACA;1- Obligatoire;1- Oui;845.0;75.68;B;;845.0;75.1;845.0;82.24;845.0;82.38;845.0;77.98;845.0;63.58;845.0;63.85;65.0;845.0
060780590;CLINIQUE DU PALAIS;060780590;CLINIQUE DU PALAIS;PACA;1- Obligatoire;1- Oui;159.0;76.14;B;;159.0;76.31;159.0;82.96;159.0;85.13;159.0;78.07;159.0;53.64;159.0;65.0;60.4;159.0
060780715;CLINIQUE SAINT GEORGE;060780715;CLINIQUE SAINT GEORGE;PACA;1- Obligatoire;1- Oui;366.0;72.68;C;;366.0;71.24;366.0;78.61;366.0;79.52;366.0;75.51;366.0;57.56;366.0;63.41;56.6;366.0
060780723;CLINIQUE DU PARC IMPERIAL;060780723;CLINIQUE DU PARC IMPERIAL;PACA;1- Obligatoire;1- Oui;107.0;74.26;B;;107.0;71.79;107.0;81.39;107.0;82.67;107.0;73.03;107.0;52.53;107.0;69.28;49.5;107.0
060780756;POLYCLINIQUE SANTA MARIA;060780756;POLYCLINIQUE SANTA MARIA;PACA;1- Obligatoire;1- Oui;291.0;71.53;C;;291.0;70.95;291.0;78.99;291.0;81.22;291.0;72.22;291.0;60.02;291.0;56.41;54.3;291.0
060780947;HOPITAL LENVAL;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;PACA;1- Obligatoire;1- Oui;151.0;69.59;D;;151.0;66.51;151.0;76.62;151.0;76.85;151.0;70.02;151.0;52.95;151.0;63.08;58.9;151.0
060781200;CLINIQUE SAINT ANTOINE;060781200;CLINIQUE SAINT ANTOINE;PACA;1- Obligatoire;1- Oui;36.0;74.23;B;;36.0;76.88;36.0;79.35;36.0;80.31;36.0;72.62;36.0;60.01;36.0;63.84;30.6;36.0
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060785003;CHU DE NICE HOPITAL PASTEUR;PACA;1- Obligatoire;1- Oui;1491.0;73.42;C;;1491.0;70.38;1491.0;81.16;1491.0;80.0;1491.0;77.55;1491.0;61.72;1491.0;62.03;56.2;1484.0
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060788957;CHU DE NICE HOPITAL DE CIMIEZ;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
060785011;CENTRE HOSPITALIER UNIVERSITAIRE DE NICE;060789195;CHU DE NICE HOPITAL DE L'ARCHET;PACA;1- Obligatoire;1- Oui;1686.0;71.32;C;;1686.0;67.93;1686.0;79.75;1686.0;78.64;1686.0;70.15;1686.0;60.17;1686.0;62.63;54.2;1683.0
060794013;CENTRE DE CARDIOLOGIE MEDICO CHIRURGICALE TZANCK;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;PACA;1- Obligatoire;1- Oui;92.0;76.91;B;;92.0;80.69;92.0;83.83;92.0;83.55;92.0;78.93;92.0;63.39;92.0;61.33;78.3;92.0
060800166;CLINIQUE DE L'ESPERANCE;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;PACA;1- Obligatoire;1- Oui;114.0;73.97;C;;114.0;76.24;114.0;81.32;114.0;79.77;114.0;78.38;114.0;50.5;114.0;61.63;65.8;114.0
070002878;CH DES VALS D'ARDÈCHE;070000013;CH DES VALS D'ARDECHE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
070780358;CH D'ARDÈCHE NORD;070000179;CH ARDECHE NORD;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;274.0;71.29;C;;274.0;69.41;274.0;80.66;274.0;76.75;274.0;70.02;274.0;62.52;274.0;60.79;42.3;272.0
070780374;CH DE TOURNON;070000195;CH DE TOURNON SUR RHONE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
070005566;CH D'ARDECHE MERIDIONALE;070000484;CH BOIS VERT;Auvergne-Rhône-Alpes;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
070005566;CH D'ARDECHE MERIDIONALE;070000609;CH D'AUBENAS;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;266.0;71.21;C;;266.0;71.68;266.0;81.01;266.0;77.12;266.0;70.05;266.0;58.68;266.0;58.18;42.9;266.0
070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;47.0;79.05;A;;47.0;76.41;47.0;85.53;47.0;84.99;47.0;77.66;47.0;59.67;47.0;77.17;57.4;47.0
070780424;CLINIQUE PASTEUR;070780424;CLINIQUE PASTEUR;Auvergne-Rhône-Alpes;1- Obligatoire;1- Oui;562.0;74.61;B;;562.0;74.78;562.0;81.67;562.0;80.87;562.0;75.53;562.0;63.16;562.0;62.65;58.4;558.0
080011174;CHI NORD ARDENNES;080000110;CENTRE HOSPITALIER DE SEDAN;Grand Est;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
080001969;GROUPE HOSPITALIER SUD ARDENNES;080000219;CENTRE HOSPITALIER DE RETHEL;Grand Est;1- Obligatoire;2- Non;;;DI;;;;;;;;;;;;;;;
080011174;CHI NORD ARDENNES;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;Grand Est;1- Obligatoire;1- Oui;41.0;71.98;C;;41.0;65.97;41.0;79.27;41.0;79.15;41.0;74.4;41.0;60.48;41.0;66.26;58.5;41.0
080010473;GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES;080010473;GCS TERRIT ARDEN NORD SITE CH CHARLEVI;Grand Est;1- Obligatoire;2- Non;;;DI;;;;;;;;;;;;;;;
090781774;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;090000175;CHIVAL SITE ST JEAN DE VERGES;Occitanie;1- Obligatoire;1- Oui;537.0;74.35;B;;537.0;74.26;537.0;82.37;537.0;80.32;537.0;74.03;537.0;59.81;537.0;64.14;55.8;534.0
090781816;CENTRE HOSPITALIER ARIEGE COUSERANS;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;Occitanie;1- Obligatoire;1- Oui;77.0;75.97;B;;77.0;76.97;77.0;85.56;77.0;82.38;77.0;72.88;77.0;56.95;77.0;65.25;66.2;77.0
090781774;CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE;090001629;CHIVAL SITE LAVELANET;Occitanie;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
100000082;CLINIQUE DU PAYS DE SEINE;100000082;CLINIQUE DU PAYS DE SEINE;Grand Est;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
100000017;CENTRE HOSPITALIER DE TROYES;100000090;CENTRE HOSPITALIER DE TROYES;Grand Est;1- Obligatoire;1- Oui;119.0;71.15;C;;119.0;71.9;119.0;79.18;119.0;77.04;119.0;73.61;119.0;55.64;119.0;59.46;45.4;119.0
100000124;POLYCLINIQUE  MONTIER LA CELLE;100000124;POLYCLINIQUE  MONTIER LA CELLE;Grand Est;1- Obligatoire;1- Oui;195.0;75.85;B;;195.0;73.62;195.0;82.79;195.0;82.15;195.0;77.21;195.0;62.07;195.0;67.66;67.2;195.0
100006279;GROUPEMENT HOSPITALIER AUBE MARNE;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;Grand Est;1- Obligatoire;1- Oui;91.0;72.68;C;;91.0;74.02;91.0;80.95;91.0;75.83;91.0;70.88;91.0;62.13;91.0;64.02;53.8;91.0
100010818;GCS ES CLINIQUE DE CHAMPAGNE;100010818;GCS ES CLINIQUE DE CHAMPAGNE SITE CLQ;Grand Est;1- Obligatoire;1- Oui;92.0;70.84;C;;92.0;67.73;92.0;78.21;92.0;78.92;92.0;66.24;92.0;62.42;92.0;63.62;48.9;92.0
110780061;CENTRE HOSPITALIER DE CARCASSONNE;110000023;CH CARCASSONNE;Occitanie;1- Obligatoire;1- Oui;391.0;72.56;C;;391.0;73.34;391.0;80.12;391.0;78.95;391.0;72.7;391.0;55.88;391.0;62.32;46.3;391.0
110780137;CENTRE HOSPITALIER DE NARBONNE;110000056;CH NARBONNE HOTEL DIEU;Occitanie;1- Obligatoire;1- Oui;50.0;68.96;D;;50.0;66.53;50.0;79.83;50.0;76.4;50.0;67.28;50.0;48.32;50.0;60.89;30.0;50.0
110780228;POLYCLINIQUE LE LANGUEDOC;110780228;POLYCL LE LANGUEDOC;Occitanie;1- Obligatoire;1- Oui;330.0;72.64;C;;330.0;70.63;330.0;79.84;330.0;80.86;330.0;71.07;330.0;57.41;330.0;64.77;42.5;327.0
110780483;POLYCLINIQUE MONTREAL;110780483;POLYCL MONTREAL;Occitanie;1- Obligatoire;1- Oui;154.0;76.53;B;;154.0;78.91;154.0;82.19;154.0;83.74;154.0;77.46;154.0;57.46;154.0;65.96;56.9;153.0
120780044;CENTRE HOSPITALIER DE RODEZ  HOPITAL JACQUES PUEL;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;Occitanie;1- Obligatoire;1- Oui;193.0;70.09;D;;193.0;66.28;193.0;79.02;193.0;75.44;193.0;74.8;193.0;57.01;193.0;58.8;41.1;192.0
120780069;CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE;120000054;CH VILLEFRANCHE SITE CHARTREUSE;Occitanie;1- Obligatoire;1- Oui;189.0;76.17;B;;189.0;75.21;189.0;83.5;189.0;81.73;189.0;71.93;189.0;66.34;189.0;69.8;66.7;189.0
120780085;CENTRE HOSPITALIER PIERRE DELPECH DECAZEVILLE;120000070;CH PIERRE DELPECH DECAZEVILLE;Occitanie;1- Obligatoire;2- Non;;;DI;;;;;;;;;;;;;;;
120004528;CENTRE HOSPITALIER DE MILLAU;120004569;CH MILLAU;Occitanie;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
120004619;CENTRE HOSPITALIER DE SAINT AFFRIQUE;120004668;CH EMILE BOREL ST AFFRIQUE;Occitanie;1- Obligatoire;1- Oui;46.0;79.03;A;;46.0;80.79;46.0;85.12;46.0;84.85;46.0;73.56;46.0;63.83;46.0;73.78;69.6;46.0
130041916;CHI AIX PERTUIS;130000409;CHI SITE D'AIX EN PROVENCE;PACA;1- Obligatoire;1- Oui;430.0;67.64;D;;430.0;62.58;430.0;76.41;430.0;75.03;430.0;70.1;430.0;56.36;430.0;57.36;46.0;428.0
130781446;CENTRE HOSPITALIER EDMOND GARCIN D'AUBAGNE;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;PACA;1- Obligatoire;1- Oui;177.0;69.88;D;;177.0;63.67;177.0;80.84;177.0;80.27;177.0;67.63;177.0;48.32;177.0;62.64;49.4;176.0
130782634;CENTRE HOSPITALIER DE SALON DE PROVENCE;130001225;HOPITAL DU PAYS SALONAIS;PACA;1- Obligatoire;1- Oui;120.0;68.35;D;;120.0;67.59;120.0;78.36;120.0;77.97;120.0;58.13;120.0;51.62;120.0;61.5;40.0;120.0
130001647;INSTITUT PAOLI CALMETTES;130001647;INSTITUT PAOLI CALMETTES;PACA;1- Obligatoire;1- Oui;1310.0;77.02;B;;1310.0;75.8;1310.0;84.92;1310.0;83.65;1310.0;74.21;1310.0;68.58;1310.0;67.64;79.5;1306.0
130785512;CENTRE HOSPITALIER DE LA CIOTAT;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;PACA;1- Obligatoire;1- Oui;327.0;74.07;B;;327.0;70.39;327.0;81.92;327.0;81.66;327.0;74.9;327.0;60.03;327.0;65.62;68.2;327.0
130789274;CENTRE HOSPITALIER JOSEPH IMBERT ARLES;130002827;CH JOSEPH IMBERT D'ARLES;PACA;1- Obligatoire;1- Oui;119.0;70.74;C;;119.0;71.68;119.0;79.74;119.0;79.54;119.0;63.67;119.0;53.5;119.0;62.25;46.2;119.0
130789316;CENTRE HOSPITALIER DE MARTIGUES;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
130008253;CLINIQUE DE VITROLLES;130008253;CLINIQUE DE VITROLLES;PACA;1- Obligatoire;1- Oui;193.0;75.35;B;;193.0;78.89;193.0;83.17;193.0;80.54;193.0;74.4;193.0;65.52;193.0;61.65;61.1;193.0
130037922;CLINIQUE DE LA RESIDENCE DU PARC;130037922;HOP PRIVE DE LA RESIDENCE DU PARC;PACA;1- Obligatoire;1- Oui;111.0;78.72;A;;111.0;77.24;111.0;88.61;111.0;88.99;111.0;74.25;111.0;49.47;111.0;72.2;55.9;111.0
130041767;EUROMED CARDIO;130041767;EUROMED CARDIO;PACA;1- Obligatoire;1- Oui;94.0;76.14;B;;94.0;75.03;94.0;83.97;94.0;83.47;94.0;78.19;94.0;67.84;94.0;64.36;74.5;94.0
130042096;CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS;130042096;GCS CENTRE CARDIO AXIUM RAMBOT;PACA;1- Obligatoire;1- Oui;182.0;71.25;C;;182.0;74.16;182.0;80.07;182.0;77.88;182.0;70.57;182.0;62.86;182.0;54.91;58.6;181.0
130043664;HOPITAL EUROPEEN;130043664;HOPITAL EUROPEEN;PACA;1- Obligatoire;1- Oui;482.0;76.48;B;;482.0;75.87;482.0;81.02;482.0;82.09;482.0;79.75;482.0;69.52;482.0;65.55;68.3;482.0
130044753;CLINIQUE MONTICELLI VELODROME;130044753;CLINIQUE MONTICELLI VELODROME;PACA;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130780521;APHM HOPITAL NORD;PACA;1- Obligatoire;1- Oui;1148.0;68.85;D;;1148.0;67.28;1148.0;78.62;1148.0;78.87;1148.0;63.99;1148.0;43.51;1148.0;62.51;43.8;1145.0
130781370;CLINIQUE JEANNE D'ARC;130781370;CLINIQUE JEANNE D'ARC;PACA;1- Obligatoire;1- Oui;39.0;70.56;D;;39.0;73.72;39.0;76.86;39.0;79.99;39.0;63.08;39.0;42.41;39.0;65.89;43.6;39.0
130781479;HOPITAL PRIVE LA CASAMANCE;130781479;HOPITAL PRIVE LA CASAMANCE;PACA;1- Obligatoire;1- Oui;355.0;71.17;C;;355.0;68.85;355.0;78.93;355.0;80.03;355.0;70.61;355.0;54.69;355.0;62.51;45.9;353.0
130781867;CLINIQUE DE LA CIOTAT;130781867;CLINIQUE DE LA CIOTAT;PACA;2- Facultatif;1- Oui;59.0;79.08;A;;59.0;80.17;59.0;84.87;59.0;83.51;59.0;84.8;59.0;57.24;59.0;70.22;79.7;59.0
130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;PACA;1- Obligatoire;1- Oui;62.0;71.33;C;;62.0;76.55;62.0;78.26;62.0;75.0;62.0;69.9;62.0;60.44;62.0;55.53;45.2;62.0
130782147;CLINIQUE GENERALE DE MARIGNANE;130782147;CLINIQUE GENERALE DE MARIGNANE;PACA;1- Obligatoire;1- Oui;381.0;69.79;D;;381.0;71.58;381.0;76.78;381.0;75.88;381.0;70.97;381.0;62.75;381.0;54.8;42.1;380.0
130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;PACA;1- Obligatoire;1- Oui;47.0;76.6;B;;47.0;75.37;47.0;82.39;47.0;82.85;47.0;73.27;47.0;69.68;47.0;69.32;58.7;46.0
130782675;CLINIQUE VIGNOLI;130782675;CLINIQUE VIGNOLI;PACA;2- Facultatif;1- Oui;47.0;80.13;A;;47.0;79.33;47.0;85.73;47.0;85.18;47.0;78.27;47.0;71.07;47.0;73.57;63.8;47.0
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783236;APHM HOPITAL DE LA CONCEPTION;PACA;1- Obligatoire;1- Oui;1123.0;70.46;D;;1123.0;67.89;1123.0;81.48;1123.0;81.17;1123.0;63.86;1123.0;44.54;1123.0;64.36;48.3;1118.0
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130783293;APHM HOPITAL LA TIMONE;PACA;1- Obligatoire;1- Oui;1117.0;67.1;D;;1117.0;64.69;1117.0;77.86;1117.0;78.67;1117.0;61.01;1117.0;41.92;1117.0;60.07;43.8;1112.0
130783327;CLINIQUE BOUCHARD;130783327;CLINIQUE BOUCHARD;PACA;1- Obligatoire;1- Oui;785.0;72.35;C;;785.0;68.61;785.0;82.62;785.0;82.26;785.0;70.51;785.0;59.99;785.0;60.67;51.2;785.0
130783665;CLINIQUE DE BONNEVEINE;130783665;CLINIQUE DE BONNEVEINE;PACA;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
130783723;CLINIQUE JUGE;130783723;CLINIQUE JUGE;PACA;1- Obligatoire;1- Oui;281.0;77.24;B;;281.0;75.54;281.0;83.22;281.0;84.75;281.0;78.47;281.0;60.72;281.0;68.78;70.4;280.0
130784051;HOPITAL PRIVE CLAIRVAL;130784051;HOPITAL PRIVE CLAIRVAL;PACA;1- Obligatoire;1- Oui;978.0;71.71;C;;978.0;68.38;978.0;81.26;978.0;81.63;978.0;69.24;978.0;55.05;978.0;61.9;58.9;975.0
130786049;ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;PACA;1- Obligatoire;1- Oui;171.0;73.25;C;;171.0;72.07;171.0;83.36;171.0;82.25;171.0;71.65;171.0;47.12;171.0;64.28;56.7;171.0
