finess;rs_finess;finess_geo;rs_finess_geo;region;participation;Depot;nb_rep_score_all_rea_ajust;score_all_rea_ajust;classement;evolution;nb_rep_score_accueil_rea_ajust;score_accueil_rea_ajust;nb_rep_score_PECinf_rea_ajust;score_PECinf_rea_ajust;nb_rep_score_PECmed_rea_ajust;score_PECmed_rea_ajust;nb_rep_score_chambre_rea_ajust;score_chambre_rea_ajust;nb_rep_score_repas_rea_ajust;score_repas_rea_ajust;nb_rep_score_sortie_rea_ajust;score_sortie_rea_ajust;taux_reco_brut;nb_reco_brut
440000487;CLINIQUE UROLOGIQUE NANTES ATLANTIS;440000487;CLINIQUE ET INSTITUT D'UROLOGIE;Pays de la Loire;1- Obligatoire;2- Non;;;DI;;;;;;;;;;;;;;;
440000313;CTRE HOSPITALIER  INTERCOMMUNAL CHATEAUBRIANT NOZAY POUANCE;440000503;CH CNP SITE CHATEAUBRIANT;Pays de la Loire;1- Obligatoire;1- Oui;138.0;74.08;B;;138.0;75.49;138.0;81.63;138.0;76.86;138.0;74.58;138.0;65.03;138.0;62.89;58.0;138.0
850009010;CENTRE HOSPITALIER INTERCOMMUNAL LOIRE VENDEE OCEAN;440000560;CH LVO SITE DE MACHECOUL;Pays de la Loire;2- Facultatif;1- Oui;95.0;77.1;B;;95.0;78.43;95.0;83.2;95.0;80.47;95.0;74.59;95.0;64.5;95.0;72.12;73.7;95.0
440001113;INSTITUT DE CANCEROLOGIE DE L'OUEST - CENTRE RENE GAUDUCHEAU;440001113;ICO - SITE GAUDUCHEAU;Pays de la Loire;1- Obligatoire;1- Oui;172.0;81.82;A;;172.0;81.69;172.0;89.65;172.0;88.04;172.0;79.6;172.0;73.17;172.0;69.77;86.6;172.0
440028538;HOPITAL  INTERCOMMUNAL DE LA PRESQU'ILE GUERANDE LE CROISIC;440001253;CH DE LA  PRESQU'ILE- SITE DE GUERANDE;Pays de la Loire;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
440041531;HOPITAL INTERCOMMUNAL  DU PAYS DE RETZ;440001287;CH PAYS DE RETZ - PORNIC;Pays de la Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
440002020;POLYCLINIQUE DE L'EUROPE;440002020;POLYCLINIQUE DE L'EUROPE;Pays de la Loire;1- Obligatoire;1- Oui;220.0;79.89;A;;220.0;81.22;220.0;84.33;220.0;83.48;220.0;79.55;220.0;75.39;220.0;71.01;74.0;219.0
440000289;CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE NANTES;440017598;CHU DE NANTES SITE LAENNEC;Pays de la Loire;1- Obligatoire;1- Oui;351.0;72.83;C;;351.0;72.84;351.0;82.42;351.0;80.5;351.0;67.64;351.0;56.68;351.0;63.51;54.7;349.0
440029338;CLINIQUE JULES VERNE - POLE HOSPITALIER MUTUALISTE DE NANTES;440029338;CLINIQUE MUTUALISTE JULES VERNE;Pays de la Loire;1- Obligatoire;1- Oui;1570.0;74.39;B;;1570.0;75.45;1570.0;83.12;1570.0;82.54;1570.0;73.6;1570.0;58.36;1570.0;60.5;68.0;1568.0
440029379;CLINIQUE JULES VERNE;440029379;CLINIQUE JULES VERNE;Pays de la Loire;1- Obligatoire;1- Oui;467.0;76.2;B;;467.0;74.36;467.0;82.57;467.0;83.46;467.0;76.03;467.0;57.29;467.0;70.27;65.9;466.0
440033819;POLYCLINIQUE DE L'ATLANTIQUE;440033819;SANTE ATLANTIQUE;Pays de la Loire;1- Obligatoire;1- Oui;1634.0;75.66;B;;1634.0;76.29;1634.0;82.34;1634.0;82.49;1634.0;76.62;1634.0;65.08;1634.0;62.75;61.5;1630.0
440041580;NOUVELLES CLINIQUES NANTAISES;440041580;HOPITAL PRIVE DU CONFLUENT;Pays de la Loire;1- Obligatoire;1- Oui;1471.0;75.6;B;;1471.0;75.02;1471.0;83.82;1471.0;82.7;1471.0;76.44;1471.0;57.19;1471.0;64.92;57.9;1466.0
440050433;CLINIQUE MUTUALISTE DE L'ESTUAIRE;440050433;CLINIQUE MUTUALISTE DE L'ESTUAIRE;Pays de la Loire;1- Obligatoire;1- Oui;245.0;75.59;B;;245.0;76.41;245.0;81.37;245.0;80.66;245.0;78.51;245.0;57.12;245.0;66.57;58.0;243.0
450000096;CH DE GIEN;450000047;CH DEZARNAULDS - GIEN;Centre-Val de Loire;1- Obligatoire;1- Oui;73.0;68.7;D;;73.0;64.88;73.0;78.58;73.0;74.35;73.0;73.82;73.0;58.92;73.0;54.7;38.9;72.0
450000104;C H AGGLOMERATION MONTARGOISE;450000062;CH AGGLOMERATION MONTARGOISE;Centre-Val de Loire;1- Obligatoire;1- Oui;175.0;70.96;C;;175.0;69.62;175.0;81.29;175.0;77.63;175.0;66.9;175.0;59.35;175.0;60.19;39.4;175.0
450000112;CH DE PITHIVIERS;450000070;CH PITHIVIERS;Centre-Val de Loire;1- Obligatoire;2- Non;;;DI;;;;;;;;;;;;;;;
450000153;CH P. LEBRUN NEUVILLE AUX BOIS;450000211;CH PIERRE LEBRUN- NEUVILLE-AUX-BOIS;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
450000237;CLINIQUE JEANNE D'ARC - GIEN;450000237;CLINIQUE JEANNE D'ARC - GIEN;Centre-Val de Loire;1- Obligatoire;1- Oui;;;DI;;;;;;;;;;;;;;;
450000245;CLINIQUE L'ARCHETTE;450000245;CLINIQUE L'ARCHETTE;Centre-Val de Loire;1- Obligatoire;1- Oui;115.0;77.54;A;;115.0;76.56;115.0;82.74;115.0;83.77;115.0;76.1;115.0;68.17;115.0;70.87;69.6;115.0
450000161;CH DE SULLY-SUR-LOIRE;450000260;CH SULLY-SUR-LOIRE;Centre-Val de Loire;2- Facultatif;1- Oui;;;DI;;;;;;;;;;;;;;;
